Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
CFG,"Citizens Financial Group Inc/Ri",36.29,Finance,"Finance - Savings & Loan","16:00 ET",N/A,-22.80%,1.44,17667604000,6986000000,2319000000,5.01,4.40%,-11.25
KHC,"Kraft Heinz Company",36.18,"Consumer Staples","Food - Misc & Diversified","16:00 ET",N/A,+1.00%,0.85,44233624000,26042000000,1012000000,2.82,4.44%,-6.5
BSX,"Boston Scientific Corp",36.03,Medical,"Medical Products","16:00 ET",+521.52%,-15.00%,0.82,50378084000,11888000000,1041000000,1.65,0.00%,-6.64
BWA,"Borgwarner Inc",35.78,Auto-Tires-Trucks,"Auto - Truck Original Parts","16:00 ET",+6.91%,-20.56%,1.34,8399500000,14838000000,537000000,3.99,1.93%,-16.28
HAL,"Halliburton Company",35.61,Oils-Energy,"Oil - Field Services","16:00 ET",+29.17%,+56.69%,2.28,33075460000,15295000000,1457000000,1.25,1.28%,11.64
XRAY,"Dentsply Sirona Inc",35.36,Medical,"Medical - Dental Suppliers","16:00 ET",-5.87%,-36.35%,0.94,7667937000,4251000000,421000000,2.67,1.36%,-30.38
FITB,"Fifth Third Bancorp",34.73,Finance,"Banks - Major Regional","16:00 ET",+158.06%,-19.79%,1.3,23641622000,8329000000,2770000000,3.5,3.48%,-5.13
WY,"Weyerhaeuser Company",34.51,Construction,"Building Products - Wood","16:00 ET",+53.94%,-15.93%,1.48,25625620000,10201000000,2607000000,3.77,2.10%,-0.05
HPQ,"Hp Inc",34.41,"Computers and Technology","Computer - Mini","16:03 ET",+269.22%,-8.27%,0.92,34902156000,63487000000,6503000000,4.12,2.96%,4.97
GM,"General Motors Company",34.18,Auto-Tires-Trucks,"Auto - Domestic","16:00 ET",+68.36%,-41.45%,1.2,48413600000,127004000000,10019000000,6.93,0.00%,-26.49
BBWI,"Bath & Body Works Inc",34,Retail-Wholesale,"Retail - Misc & Diversified","16:03 ET",-4.56%,-51.21%,1.58,7502541000,7882000000,1333000000,4.63,2.44%,-18.2
OGN,"Organon & CO",33.59,Medical,"Medical Services","16:03 ET",N/A,+10.54%,N/A,8402994000,6304000000,1351000000,6.41,3.27%,1.85
FOXA,"Fox Corp Cl A",32.83,"Consumer Discretionary","Broadcast - Radio & TV","16:00 ET",N/A,-10.62%,0.93,17832670000,12909000000,2150000000,2.7,1.52%,-4.73
ROL,"Rollins Inc",32.77,Construction,"Building - Maint & Service","16:00 ET",+394.56%,-3.74%,0.59,16142871000,2424300000,350690000,0.68,1.21%,-0.86
GLW,"Corning Inc",32.74,"Computers and Technology","Communications Components","16:03 ET",+148.26%,-11.60%,0.92,27112044000,14082000000,1906000000,2.17,3.38%,-8.11
HWM,"Howmet Aerospace Inc",32.71,"Industrial Products","Engineering & R&D Services","15:59 ET",N/A,+3.24%,1.58,13456831000,4972000000,258000000,1.1,0.25%,-2.15
TPR,"Tapestry Inc",32.7,Retail-Wholesale,"Retail - Apparel & Shoes","16:00 ET",-45.96%,-18.98%,1.38,7956943000,5746300000,834200000,3.4,3.23%,-10.65
